iter	RMSE
301	4260.500706
302	4259.867494
303	4258.021426
304	4257.18636
305	4254.87738
306	4253.500891
307	4252.626642
308	4250.589334
309	4249.712993
310	4248.830616
311	4248.088676
312	4245.737083
313	4244.700031
314	4243.527649
315	4241.44763
316	4239.608903
317	4238.648813
318	4236.61697
319	4236.101094
320	4235.271313
321	4233.234681
322	4231.826362
323	4230.065787
324	4228.626008
325	4227.690363
326	4226.850021
327	4225.59902
328	4224.628689
329	4224.092368
330	4223.629812
331	4222.967161
332	4222.267712
333	4220.699366
334	4219.029114
335	4216.36677
336	4214.576684
337	4213.775325
338	4212.582458
339	4211.776536
340	4210.276814
341	4209.440667
342	4207.252787
343	4206.686193
344	4205.164713
345	4203.900576
346	4203.013738
347	4201.011546
348	4200.53177
349	4198.805452
350	4198.225043
351	4196.715085
352	4195.106744
353	4194.364714
354	4192.373794
355	4190.631615
356	4189.561321
357	4188.28738
358	4186.897532
359	4185.322146
360	4183.954866
361	4182.528333
362	4181.845555
363	4179.923711
364	4179.099485
365	4178.240819
366	4177.266153
367	4176.621089
368	4175.358711
369	4174.553404
370	4173.338864
371	4171.539038
372	4169.422224
373	4168.955933
374	4167.728721
375	4167.312584
376	4165.989928
377	4165.084183
378	4163.680108
379	4163.217809
380	4162.317678
381	4161.493596
382	4160.03319
383	4158.448407
384	4157.880769
385	4157.436621
386	4156.119796
387	4155.492777
388	4154.259457
389	4153.433397
390	4152.346386
391	4151.923964
392	4150.737225
393	4149.487993
394	4148.783065
395	4148.413647
396	4148.043079
397	4146.231408
398	4143.460204
399	4142.187002
400	4140.570095
401	4139.839338
402	4138.498406
403	4137.408719
404	4136.144235
405	4134.394254
406	4134.11689
407	4133.416019
408	4133.074751
409	4132.296417
410	4131.600117
411	4131.252038
412	4130.287962
413	4129.947864
414	4129.6363
415	4128.903852
416	4128.170001
417	4127.606626
418	4127.033509
419	4126.698481
420	4125.548805
421	4124.450019
422	4123.838162
423	4123.136037
424	4121.729318
425	4120.127377
426	4119.370961
427	4118.901679
428	4118.303862
429	4117.146981
430	4115.812877
431	4113.043978
432	4112.567584
433	4111.722038
434	4110.747909
435	4109.294731
436	4108.157841
437	4106.8919
438	4105.993307
439	4104.618287
440	4103.577328
441	4102.833864
442	4101.795153
443	4100.553946
444	4100.107011
445	4099.065258
446	4098.773003
447	4097.701026
448	4097.37789
449	4096.833931
450	4095.037719
451	4093.726299
452	4093.152567
453	4092.37173
454	4091.775409
455	4090.85301
456	4089.452275
457	4088.783467
458	4087.769122
459	4087.156594
460	4086.581561
461	4086.243964
462	4085.431033
463	4084.322454
464	4082.619299
465	4081.926935
466	4081.529178
467	4080.784776
468	4080.221329
469	4079.277997
470	4078.695355
471	4077.244067
472	4076.752393
473	4075.899499
474	4075.130738
475	4074.808205
476	4073.64705
477	4072.742359
478	4072.349177
479	4071.679574
480	4071.220925
481	4070.51906
482	4069.742434
483	4069.31286
484	4068.648478
485	4067.395759
486	4067.148668
487	4065.528678
488	4064.748064
489	4063.510451
490	4062.990137
491	4061.937345
492	4061.000655
493	4060.573182
494	4059.61015
495	4059.060346
496	4058.361604
497	4057.100447
498	4056.372811
499	4054.841589
500	4053.526964
501	4053.074572
502	4051.861368
503	4050.727009
504	4050.142798
505	4049.323508
506	4048.513391
507	4048.159727
508	4047.612374
509	4047.093089
510	4046.586577
511	4046.176012
512	4045.469988
513	4044.700627
514	4044.252659
515	4043.62089
516	4043.263446
517	4042.905771
518	4041.800472
519	4041.371773
520	4040.196628
521	4038.029507
522	4037.68316
523	4036.619282
524	4035.63826
525	4035.285848
526	4034.742483
527	4033.638977
528	4033.219868
529	4032.088239
530	4031.041903
531	4030.621592
532	4029.791574
533	4028.854227
534	4027.421275
535	4026.555258
536	4026.00617
537	4025.741661
538	4024.456247
539	4024.056669
540	4022.769226
541	4022.174027
542	4020.583849
543	4020.197267
544	4019.942565
545	4019.483946
546	4019.049942
547	4018.599375
548	4017.757982
549	4015.644448
550	4015.429241
551	4015.216108
552	4014.201985
553	4012.968958
554	4011.971596
555	4011.01451
556	4010.089683
557	4009.315682
558	4008.522166
559	4007.843991
560	4007.411445
561	4006.545112
562	4005.790369
563	4005.342095
564	4004.602571
565	4004.255853
566	4003.818963
567	4002.753999
568	4001.730067
569	4000.781754
570	4000.091374
571	3999.393809
572	3998.722262
573	3998.430337
574	3997.962879
575	3996.860731
576	3996.591832
577	3995.867313
578	3994.751453
579	3993.726828
580	3992.771358
581	3992.317098
582	3991.98161
583	3990.582504
584	3989.327878
585	3988.708204
586	3987.969517
587	3987.430997
588	3986.699602
589	3986.394487
590	3985.725681
591	3985.221682
592	3984.448229
593	3984.07971
594	3983.89459
595	3982.649852
596	3982.242792
597	3981.652267
598	3981.452707
599	3979.97631
600	3979.119839
601	3978.21215
602	3978.010311
603	3977.251025
604	3976.466477
605	3976.120403
606	3975.124468
607	3974.130224
608	3973.495138
609	3972.974602
610	3972.087572
611	3971.200172
612	3970.462001
613	3969.840319
614	3969.512453
615	3968.848865
616	3968.153648
617	3967.433523
618	3966.777798
619	3965.969146
620	3965.291049
621	3964.105217
622	3963.535058
623	3963.18412
624	3962.603285
625	3961.585694
626	3960.495913
627	3960.302973
628	3959.382086
629	3958.82642
630	3957.575225
631	3956.858281
632	3956.576199
633	3956.052857
634	3955.491351
635	3954.915769
636	3954.136118
637	3953.406116
638	3953.115318
639	3951.982894
640	3951.393076
641	3950.9002
642	3950.561497
643	3949.113385
644	3948.806805
645	3948.18788
646	3947.378098
647	3946.92086
648	3946.29702
649	3946.021545
650	3945.369381
651	3944.85646
652	3944.284178
653	3943.995951
654	3943.699697
655	3942.372212
656	3942.1033
657	3940.50843
658	3939.633338
659	3938.803505
660	3938.489148
661	3938.007598
662	3937.162822
663	3936.078303
664	3935.823575
665	3935.088623
666	3934.674721
667	3933.817305
668	3933.608338
669	3932.923327
670	3932.209801
671	3931.704919
672	3931.244797
673	3930.490218
674	3929.026179
675	3928.585263
676	3928.380657
677	3927.890501
678	3927.314609
679	3927.042764
680	3926.52769
681	3926.068699
682	3925.55413
683	3925.150269
684	3924.609548
685	3924.311158
686	3923.841753
687	3923.030761
688	3922.501252
689	3922.018973
690	3921.154561
691	3920.622507
692	3919.719355
693	3919.329637
694	3918.621142
695	3918.210701
696	3917.145505
697	3916.880015
698	3916.114449
699	3915.610394
700	3914.823061
701	3914.567079
702	3914.232987
703	3913.638539
704	3912.565861
705	3911.93195
706	3911.656882
707	3910.710765
708	3909.929051
709	3909.238629
710	3908.639037
711	3907.692061
712	3907.100069
713	3906.832703
714	3906.390291
715	3905.946186
716	3904.925587
717	3904.561383
718	3903.925754
719	3903.193697
720	3902.697423
721	3902.095
722	3901.727503
723	3901.196408
724	3900.323627
725	3899.610778
726	3898.904013
727	3898.130405
728	3897.470828
729	3896.543906
730	3896.026789
731	3895.619958
732	3895.034193
733	3894.159454
734	3893.906725
735	3893.43441
736	3892.702368
737	3892.29532
738	3891.969588
739	3891.634328
740	3890.910615
741	3890.687493
742	3889.888629
743	3889.350122
744	3888.7173
745	3888.044087
746	3887.39446
747	3886.672512
748	3886.097271
749	3885.721348
750	3885.242164
751	3884.438969
752	3884.167178
753	3883.993732
754	3883.355009
755	3883.041088
756	3882.626196
757	3881.956872
758	3881.725842
759	3881.547268
760	3880.989104
761	3880.301244
762	3879.534933
763	3879.165122
764	3878.95602
765	3878.212431
766	3877.791118
767	3877.361812
768	3876.915425
769	3876.486359
770	3875.90589
771	3875.178178
772	3874.767479
773	3874.368277
774	3874.031788
775	3873.340476
776	3872.687457
777	3872.470938
778	3871.229044
779	3870.802344
780	3869.96084
781	3869.743666
782	3869.337778
783	3869.021691
784	3868.614944
785	3868.369567
786	3867.130615
787	3866.926385
788	3866.423713
789	3865.741794
790	3864.891477
791	3863.650907
792	3863.126783
793	3862.654646
794	3862.057209
795	3861.803574
796	3861.231115
797	3860.629728
798	3859.908366
799	3859.338322
800	3858.347661
801	3857.985373
802	3857.793385
803	3856.913724
804	3856.223505
805	3855.597681
806	3855.252594
807	3855.07068
808	3853.775369
809	3853.374225
810	3852.674509
811	3852.129908
812	3851.782059
813	3850.218011
814	3849.102618
815	3847.952698
816	3847.320762
817	3846.686962
818	3845.643626
819	3845.427869
820	3844.317007
821	3843.234961
822	3842.966376
823	3842.175353
824	3841.828578
825	3841.10244
826	3840.526582
827	3839.51244
828	3839.040825
829	3837.847955
830	3837.243129
831	3836.924963
832	3836.558558
833	3836.063339
834	3835.65456
835	3834.90858
836	3834.70944
837	3833.924157
838	3833.209401
839	3832.333701
840	3831.668018
841	3831.104169
842	3829.690499
843	3829.031276
844	3828.448317
845	3827.572198
846	3827.002224
847	3826.188663
848	3825.908051
849	3824.437026
850	3823.932245
851	3823.089292
852	3822.236289
853	3820.972166
854	3820.587802
855	3820.417291
856	3820.066026
857	3819.436951
858	3819.234069
859	3817.940685
860	3817.145572
861	3816.800918
862	3815.934404
863	3815.383179
864	3814.773779
865	3814.004776
866	3813.540768
867	3813.049862
868	3812.546958
869	3812.152221
870	3811.542811
871	3811.427562
872	3810.123201
873	3809.719629
874	3809.103013
875	3808.875884
876	3808.69903
877	3808.496636
878	3807.735099
879	3807.22995
880	3807.026139
881	3806.095831
882	3805.650342
883	3805.184607
884	3804.916752
885	3804.563514
886	3804.184563
887	3803.986611
888	3803.695006
889	3803.568947
890	3802.63121
891	3802.168236
892	3801.255761
893	3800.794786
894	3800.211325
895	3799.384849
896	3799.214657
897	3798.823483
898	3798.544102
899	3797.999932
900	3797.71917
901	3796.832985
902	3796.678966
903	3796.077936
904	3795.705326
905	3795.088464
906	3794.613397
907	3794.464708
908	3794.081672
909	3793.239077
910	3792.713835
911	3792.202918
912	3791.452746
913	3790.810631
914	3790.142476
915	3789.9194
916	3789.543191
917	3788.385822
918	3788.014487
919	3787.789453
920	3787.172255
921	3786.421928
922	3785.954737
923	3785.685211
924	3785.374123
925	3785.03607
926	3784.861622
927	3784.503307
928	3783.700475
929	3782.833262
930	3782.316373
931	3781.830678
932	3780.610903
933	3779.536663
934	3779.036029
935	3778.628773
936	3777.865759
937	3777.539656
938	3777.048809
939	3776.660158
940	3775.980161
941	3775.52087
942	3774.628882
943	3774.103621
944	3773.199403
945	3772.8276
946	3772.097592
947	3771.423124
948	3770.904368
949	3770.780914
950	3770.485089
951	3770.314185
952	3769.607681
953	3768.827953
954	3768.439555
955	3767.416526
956	3766.812196
957	3766.439476
958	3765.987141
959	3765.205314
960	3764.298207
961	3764.086917
962	3763.470868
963	3762.862653
964	3762.081026
965	3761.787674
966	3761.362649
967	3760.953666
968	3760.400526
969	3759.762133
970	3759.170263
971	3758.496007
972	3758.036049
973	3757.775644
974	3757.254736
975	3756.782752
976	3756.433136
977	3756.035791
978	3755.630523
979	3755.206605
980	3754.754327
981	3753.884449
982	3753.415131
983	3752.996377
984	3752.815294
985	3752.543155
986	3752.105115
987	3751.43953
988	3751.052639
989	3750.525582
990	3750.191791
991	3749.804128
992	3749.431916
993	3748.712196
994	3748.080846
995	3747.431361
996	3746.931752
997	3746.770905
998	3746.267869
999	3744.884617
